Cod_Gecon;Cod_Gecon;Cod_Gecon;Cod_Gecon;Cod_Gecon
101;2018;3509007;Bovino;76
101;2018;3509106;Bovino;67424
101;2018;3509205;Bovino;107
101;2018;3509254;Bovino;8291
101;2018;3509304;Bovino;5150
101;2018;3509403;Bovino;24942
101;2018;3509452;Bovino;6473
101;2018;3509502;Bovino;23124
101;2018;3509601;Bovino;295
101;2018;3509700;Bovino;833
101;2018;3509809;Bovino;14000
101;2018;3509908;Bovino;940
101;2018;3509957;Bovino;5494
101;2018;3510005;Bovino;4530
101;2018;3510104;Bovino;771
101;2018;3510153;Bovino;438
101;2018;3510203;Bovino;26625
101;2018;3510302;Bovino;8545
101;2018;3510401;Bovino;4850
101;2018;3510500;Bovino;8755
101;2018;3510708;Bovino;44760
101;2018;3510807;Bovino;15480
101;2018;3510906;Bovino;13244
101;2018;3511003;Bovino;70736
101;2018;3511102;Bovino;3091
101;2018;3511201;Bovino;1750
101;2018;3511300;Bovino;13510
101;2018;3511409;Bovino;20177
101;2018;3511508;Bovino;9150
101;2018;3511607;Bovino;10150
101;2018;3511706;Bovino;4820
101;2018;3511904;Bovino;11382
101;2018;3512001;Bovino;8837
101;2018;3512100;Bovino;9731
101;2018;3512209;Bovino;2160
101;2018;3512308;Bovino;65530
101;2018;3512407;Bovino;872
101;2018;3512506;Bovino;13769
101;2018;3512605;Bovino;14784
101;2018;3512704;Bovino;15137
101;2018;3512803;Bovino;1702
101;2018;3512902;Bovino;27900
101;2018;3513108;Bovino;5893
101;2018;3513207;Bovino;20787
101;2018;3513306;Bovino;1280
101;2018;3513405;Bovino;10500
101;2018;3513603;Bovino;120972
101;2018;3513702;Bovino;27900
101;2018;3513850;Bovino;8490
101;2018;3513900;Bovino;35546
101;2018;3514007;Bovino;515
101;2018;3514106;Bovino;12982
101;2018;3514205;Bovino;4833
101;2018;3514304;Bovino;12900
101;2018;3514403;Bovino;31250
101;2018;3514502;Bovino;24100
101;2018;3514601;Bovino;344
101;2018;3514700;Bovino;41492
101;2018;3514809;Bovino;16832
101;2018;3514908;Bovino;6950
101;2018;3514924;Bovino;1250
101;2018;3514957;Bovino;1940
101;2018;3515129;Bovino;24349
101;2018;3515152;Bovino;3800
101;2018;3515186;Bovino;17200
101;2018;3515194;Bovino;18000
101;2018;3515202;Bovino;32311
101;2018;3515301;Bovino;13229
101;2018;3515350;Bovino;57176
101;2018;3515400;Bovino;41532
101;2018;3515509;Bovino;39339
101;2018;3515608;Bovino;2211
101;2018;3515657;Bovino;7388
101;2018;3515707;Bovino;96
101;2018;3515806;Bovino;18695
101;2018;3515905;Bovino;17300
101;2018;3516002;Bovino;40389
101;2018;3516101;Bovino;872
101;2018;3516200;Bovino;21487
101;2018;3516309;Bovino;155
101;2018;3516408;Bovino;208
101;2018;3516507;Bovino;9229
101;2018;3516606;Bovino;20210
101;2018;3516705;Bovino;39504
101;2018;3516804;Bovino;14320
101;2018;3516853;Bovino;1780
101;2018;3516903;Bovino;41600
101;2018;3517000;Bovino;41000
101;2018;3517109;Bovino;11199
101;2018;3517208;Bovino;17850
101;2018;3517307;Bovino;17150
101;2018;3517406;Bovino;13940
101;2018;3517505;Bovino;18658
101;2018;3517604;Bovino;10000
101;2018;3517703;Bovino;4632
101;2018;3517802;Bovino;43448
101;2018;3517901;Bovino;13878
101;2018;3518008;Bovino;9000
101;2018;3518107;Bovino;43000
101;2018;3518206;Bovino;50400
101;2018;3518305;Bovino;8759
101;2018;3518404;Bovino;55716
